,Site1,Site2,Site3,Site4,Site5,Site6,Site7
228,8013.5,7860.0,7961.0,8141.0,7920.5,8122.0,7807.0
229,7862.0,7710.5,8013.0,8137.5,7802.0,7875.5,7722.5
230,7800.5,7708.0,7966.5,8244.0,7901.5,7948.0,7624.5
231,7831.0,7578.5,7879.5,8132.5,7835.5,8183.5,7781.0
232,7706.5,7493.5,7787.5,8001.5,7855.5,7823.5,7690.0
233,7733.5,7476.5,7708.5,7843.0,7790.5,7942.0,7723.0
234,7754.5,7543.0,7663.0,7940.5,7710.5,8025.5,7892.5
235,7647.0,7474.0,7644.0,7901.0,7635.0,7995.0,7935.0
236,7585.0,7382.5,7611.5,7809.5,7573.0,7795.5,7730.0
237,7569.5,7370.5,7549.5,7867.0,7675.0,7829.0,7689.5
238,7559.5,7412.5,7714.0,7708.0,7589.0,7758.5,7621.0
239,7476.0,7341.0,7548.5,7793.0,7536.0,7699.0,7507.5
240,7526.5,7366.0,7474.0,7727.5,7562.5,7680.0,7473.0
241,7398.0,7363.5,7489.0,7679.5,7495.5,7606.5,7482.0
242,7326.5,7220.0,7334.0,7642.5,7428.0,7566.5,7341.5
243,7348.5,7283.0,7405.5,7659.5,7501.5,7518.0,7388.0
244,7257.0,7160.5,7295.5,7610.0,7427.5,7510.0,7412.5
245,7330.5,7062.5,7386.0,7532.0,7429.5,7504.5,7384.5
246,7193.5,7023.0,7202.0,7594.5,7436.5,7441.5,7327.5
247,7157.5,7021.5,7258.5,7541.5,7319.0,7349.0,7338.0
248,7089.0,7016.0,7196.0,7461.0,7294.5,7389.0,7175.0
249,6951.0,6922.0,7074.5,7272.0,7222.5,7267.0,7103.5
250,6959.5,6795.0,6973.0,7312.0,7150.5,7257.5,7182.0
251,6844.0,6783.0,6948.5,7270.5,7032.5,7427.0,7406.0
252,6828.0,6701.5,7007.0,7253.0,7090.0,7285.0,7064.5
253,6749.0,6593.5,6946.0,7173.5,7035.5,7127.0,7012.0
254,6616.0,6548.5,6723.5,7068.0,6871.0,7150.5,7017.5
255,6635.5,6498.5,6759.5,7002.0,6831.0,7057.0,6945.5
256,6537.5,6541.5,6677.5,6987.0,6830.0,7063.0,6898.5
257,6512.5,6381.0,6657.5,7027.0,6824.0,7050.5,7013.5
258,6468.5,6379.0,6585.0,6945.5,6816.0,7021.0,6847.5
259,6440.0,6403.0,6557.0,6891.0,6790.5,6978.0,6882.0
260,6405.5,6381.5,6540.5,6774.5,6612.0,6989.5,6878.0
261,6308.5,6284.0,6456.0,6872.5,6678.0,6756.0,6681.0
262,6258.0,6216.5,6444.5,6767.0,6636.5,6742.5,6596.0
263,6290.5,6160.5,6397.0,6714.5,6642.5,6757.5,6667.5
264,6238.5,6196.5,6278.5,6635.0,6578.5,6691.0,6597.0
265,6181.5,6080.5,6256.5,6541.5,6486.0,6585.5,6519.0
266,6136.0,6031.0,6242.5,6542.5,6370.5,6611.5,6513.5
267,6029.5,5927.0,6168.5,6530.5,6365.0,6512.0,6426.0
268,5938.5,5897.0,6160.5,6529.0,6325.5,6496.5,6434.0
269,5879.0,5852.0,6144.0,6399.0,6349.0,6493.0,6427.0
270,5818.0,5792.0,6035.0,6307.5,6270.5,6419.5,6314.0
271,5846.0,5738.0,5921.0,6284.5,6219.5,6344.0,6201.0
272,5712.0,5684.5,5983.5,6278.5,6201.0,6336.5,6271.5
273,5681.0,5690.0,5877.0,6229.5,6198.0,6338.5,6262.0
274,5688.5,5711.0,5835.5,6148.5,6082.0,6253.5,6151.0
275,5574.0,5581.0,5877.0,6080.0,6082.0,6115.5,6028.5
276,5584.0,5593.0,5767.0,6056.0,6034.5,6164.0,6027.5
277,5454.0,5524.5,5766.0,6078.5,6066.0,6132.5,6077.5
278,5437.5,5394.5,5706.5,6028.5,5964.5,6109.5,6037.5
279,5327.0,5333.5,5569.5,5880.0,5876.5,6021.5,6004.5
280,5326.5,5288.0,5511.0,5848.5,5892.0,6006.5,5952.0
281,5269.0,5370.5,5487.0,5833.0,5734.0,5953.5,5914.5
282,5247.5,5289.5,5485.0,5837.5,5761.0,5893.0,5786.5
283,5238.5,5206.5,5325.5,5674.0,5681.5,5888.0,5824.0
284,5158.5,5120.0,5291.0,5564.0,5604.0,5774.5,5716.0
285,5038.0,5098.0,5300.0,5576.0,5562.5,5668.5,5618.5
286,4997.0,5020.5,5218.5,5468.0,5461.5,5553.5,5558.0
287,4973.0,4982.5,5204.5,5480.0,5424.5,5560.0,5574.5
288,4869.5,4777.5,5036.0,5449.5,5384.5,5550.0,5463.0
289,4766.5,4795.0,5094.0,5311.5,5257.5,5469.5,5415.5
290,4745.5,4725.5,5034.0,5346.0,5327.0,5428.0,5405.5
291,4611.5,4656.0,4973.0,5288.5,5254.0,5371.0,5312.0
292,4618.0,4591.0,4913.5,5274.5,5171.0,5374.0,5343.0
293,4547.0,4580.0,4890.5,5177.0,5211.0,5262.0,5233.0
294,4578.5,4686.5,4765.5,5161.0,5140.5,5224.5,5281.5
295,4538.5,4550.0,4726.5,5137.5,5132.0,5209.5,5176.0
296,4343.5,4474.5,4666.0,5065.0,4992.5,5199.5,5153.0
297,4372.5,4485.5,4629.5,4987.5,4957.0,5100.0,5011.0
298,4299.0,4386.0,4624.5,5004.0,4980.0,5088.0,5058.5
299,4270.0,4334.5,4618.0,4920.5,4976.5,5032.5,4987.0
300,4227.0,4238.0,4597.0,4881.5,4918.0,4919.5,4864.5
301,4268.5,4187.5,4417.0,4747.0,4779.5,4934.5,4823.5
302,4204.0,4177.5,4456.0,4728.5,4723.5,4823.5,4759.5
303,4192.0,4187.5,4383.0,4680.5,4685.0,4794.5,4768.0
304,4104.5,4129.5,4337.0,4660.0,4671.5,4786.5,4762.0
305,4010.0,4013.5,4328.0,4719.5,4651.5,4807.0,4838.0
306,3909.0,4019.5,4311.5,4591.0,4586.0,4680.5,4668.5
307,3889.5,3948.0,4189.5,4500.5,4507.5,4632.5,4613.5
308,3809.5,3827.0,4124.0,4558.0,4522.0,4724.0,4741.0
309,3758.5,3818.0,4093.5,4447.0,4456.0,4638.5,4544.5
310,3721.5,3763.0,4182.0,4429.5,4477.5,4545.0,4527.5
311,3658.5,3752.5,3966.5,4336.5,4355.5,4470.0,4477.0
312,3629.5,3717.5,4043.5,4379.0,4420.5,4500.0,4479.5
313,3670.5,3618.5,3964.5,4274.0,4272.5,4379.0,4379.0
314,3647.0,3656.5,3987.5,4392.0,4429.0,4477.0,4448.0
315,3437.0,3572.0,3868.0,4226.5,4302.0,4402.5,4364.5
316,3371.0,3440.5,3835.0,4194.0,4237.5,4384.0,4345.5
317,3430.5,3535.0,3793.5,4141.5,4119.0,4319.5,4295.0
318,3407.5,3536.5,3721.5,4105.5,4154.5,4295.5,4301.5
319,3440.0,3490.5,3779.5,4123.5,4127.0,4227.5,4214.0
320,3358.0,3452.5,3739.5,4081.5,4080.5,4177.5,4211.5
321,3361.0,3393.5,3767.5,4099.0,4123.5,4197.5,4154.5
322,3273.0,3411.0,3673.0,4037.5,4120.0,4175.5,4155.5
323,3382.5,3410.0,3730.0,3935.5,3932.0,4065.5,4101.5
324,3280.0,3369.5,3576.0,3944.5,3923.0,4015.0,4037.0
325,3323.5,3325.0,3590.0,3950.0,3975.0,4078.0,4036.0
326,3259.0,3406.0,3599.5,3906.0,4013.5,4033.5,4042.5
327,3199.0,3294.0,3580.5,3849.0,3942.0,4013.0,4032.0
328,3129.5,3249.0,3545.5,3898.5,3978.5,4092.0,4100.0
329,3076.5,3210.0,3491.5,3843.0,3927.5,4024.5,4052.5
330,3108.0,3144.5,3442.0,3792.5,3815.0,3930.0,3991.5
331,3080.0,3173.0,3471.0,3752.0,3783.5,3851.5,3837.5
332,3053.0,3141.5,3418.5,3777.5,3850.0,3917.5,3914.5
333,2961.5,3121.0,3371.0,3684.0,3728.5,3859.0,3847.0
334,2970.0,3131.5,3315.5,3637.5,3690.5,3798.0,3814.0
335,2998.5,3049.5,3345.0,3672.0,3722.5,3823.5,3829.5
336,2928.0,3068.5,3382.0,3651.0,3758.5,3790.0,3834.5
337,2960.5,3060.5,3272.0,3658.5,3761.5,3832.0,3856.0
338,2895.0,2979.0,3262.0,3633.5,3690.0,3781.5,3767.5
339,2817.0,2999.0,3218.5,3587.5,3676.5,3773.5,3769.0
340,2889.5,2976.0,3282.0,3538.0,3609.0,3684.0,3736.0
341,2938.5,2944.0,3212.5,3557.5,3617.0,3737.5,3735.5
342,2861.5,2987.0,3267.0,3639.5,3706.5,3766.5,3789.5
343,2798.0,2936.0,3265.5,3561.5,3648.0,3691.5,3680.0
344,2774.5,2941.5,3264.5,3561.5,3542.5,3668.0,3631.0
345,2805.5,2931.5,3217.5,3555.0,3625.5,3674.0,3658.0
346,2717.0,2826.5,3172.5,3504.0,3484.5,3603.5,3610.0
347,2771.0,2844.0,3152.0,3447.5,3530.0,3601.5,3610.5
348,2720.0,2875.5,3122.5,3477.0,3522.0,3616.5,3649.5
349,2768.5,2841.5,3143.0,3435.5,3511.5,3619.0,3643.0
350,2801.5,2902.5,3182.5,3511.5,3537.0,3677.0,3657.5
351,2767.0,2960.5,3151.0,3508.0,3600.0,3642.0,3689.5
352,2784.0,2804.5,3125.0,3559.0,3649.0,3713.0,3663.0
353,2712.5,2764.5,3137.5,3508.0,3540.0,3625.5,3645.0
354,2814.0,2877.0,3160.0,3500.5,3608.0,3624.5,3608.5
355,2813.0,2976.0,3115.5,3467.5,3560.0,3592.0,3605.0
356,2757.0,2833.5,3139.5,3483.0,3531.0,3598.5,3575.0
357,2824.0,2876.0,3132.0,3464.0,3527.0,3622.0,3596.0
358,2824.5,2850.0,3166.5,3519.5,3603.0,3680.0,3703.0
359,2790.5,2873.0,3211.0,3558.0,3625.5,3618.0,3608.5
360,2774.0,2875.0,3193.0,3504.0,3561.5,3645.0,3614.5
361,2781.0,2922.0,3236.5,3500.5,3580.0,3621.5,3654.0
362,2796.5,2871.5,3169.0,3518.0,3609.5,3634.5,3651.0
363,2884.5,2968.0,3236.5,3523.0,3532.0,3690.5,3661.5
364,2910.0,2925.0,3268.0,3505.5,3525.5,3648.0,3682.5
